"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2025.11,2025.12,2026.01,2026.02,2026.03,2026.04
"연립다세대","부산",동부산권,소계,소계,65.44799523,65.50645347,65.58807223,65.65417237,65.7647928,65.88541069
"아파트","인천",서,소계,소계,65.43715852,65.81255654,66.25494799,66.48908245,66.84593774,67.27851433
"연립다세대","부산",중부산권,소계,소계,65.376887,65.45096598,65.48341135,65.55660725,65.62002938,65.67719057
"아파트","경기",경부2권,소계,소계,65.36048718,65.37552874,65.38533169,65.30404549,65.29996235,65.33412485
"아파트","경기",서해안권,소계,소계,65.32947219,65.48074676,65.61287586,65.90174067,66.15167833,66.44001079
"연립다세대","경북",소계,소계,소계,65.1204341,65.10822251,65.14477744,65.11065342,65.14243713,65.12564348
"아파트","인천",중,소계,소계,65.11220512,65.15567875,65.21255883,65.21372441,65.23597363,65.24480493
"종합","경기",소계,소계,소계,65.03968534,65.0996551,65.1704007,65.3672355,65.49639699,65.64913924
"연립다세대","부산",소계,소계,소계,64.98512452,65.04612128,65.0959903,65.16033034,65.23021988,65.30462898
"아파트","제주",제주,소계,소계,64.89462066,64.89456401,64.88617364,64.88019606,65.1614188,65.18326551
"종합","경기",경부2권,소계,소계,64.66032547,64.66925465,64.68753061,64.64510525,64.63148922,64.65856714
"종합","경북",소계,소계,소계,64.63598278,64.66213616,64.71089008,65.03532451,65.06765286,65.13317302
"종합","전국",소계,소계,소계,64.55224081,64.57763998,64.60342213,64.92592409,65.02765293,65.13213802
"종합","경기",서해안권,소계,소계,64.54237348,64.66016283,64.7435782,65.02363787,65.20926946,65.43327368
"종합","대구",소계,소계,소계,64.41581646,64.52138072,64.64177558,65.42979527,65.61170263,65.72883013
"종합","부산",소계,소계,소계,64.31841016,64.44508594,64.55420227,65.50639005,65.73791133,65.90374875
"종합","전남",소계,소계,소계,64.29027874,64.26752443,64.27507065,64.64749104,64.78372192,64.84691712
"아파트","경북",상주,소계,소계,64.24300404,64.0974971,63.91590653,63.77894372,63.67452042,63.62752421
"아파트","부산",중부산권,연제,소계,64.20694972,64.4064801,64.63155129,64.81812533,65.40750752,66.10340242
"아파트","경기",경부2권,수원,장안,64.06902781,64.07035586,63.93908715,63.83603089,63.72342151,63.64665977
"종합","부산",중부산권,소계,소계,64.01753607,64.12050054,64.17792241,65.30304239,65.5444691,65.73391247
"연립다세대","대구",소계,소계,소계,63.95907464,63.93318365,64.03791885,64.06281255,64.14347626,64.25754544
"연립다세대","서울",강북권역,도심권,소계,63.74366376,63.18106963,62.74800103,62.48765882,62.24993897,62.04743751
"아파트","경기",서해안권,화성,소계,63.66609153,63.96891394,64.05096883,64.23641029,64.48510022,64.78038869
"아파트","경기",서해안권,안산,상록,63.51548206,63.78046096,63.93488274,63.97881592,64.13926666,64.29150456
"아파트","경기",경부2권,수원,소계,63.44989885,63.53963176,63.84651851,63.82602281,63.84665713,63.87996126
"아파트","서울",강북권역,동북권,중랑,63.41434816,63.47832673,63.44978457,63.43847044,63.37234346,63.36893277
"연립다세대","부산",서부산권,소계,소계,63.20682824,63.23542277,63.28591282,63.32712538,63.35382395,63.40657408
"아파트","경기",경부2권,용인,수지,62.71807127,62.49790571,61.82023395,60.98165836,60.56710187,60.47318184
"아파트","경기",경원권,양주,소계,62.71032653,62.84323721,63.04876463,63.29892619,63.50479317,63.94737199
"종합","수도권",소계,소계,소계,62.6923458,62.68662444,62.65449897,62.81939108,62.91298493,63.03422631
"아파트","서울",강북권역,동북권,강북,62.51673487,62.75608724,62.78848661,62.79684404,63.08494935,63.28925489
"아파트","경기",동부1권,구리,소계,62.50640283,62.57348805,62.38015534,61.80884648,61.6546698,61.38210423
"아파트","경기",서해안권,안산,소계,62.42850824,62.65318172,62.79113827,62.87803774,63.05370851,63.26641585
"아파트","경기",경부2권,수원,영통,62.39848268,62.86986969,63.15644973,63.28133716,63.22416889,63.28419159
"아파트","수도권",소계,소계,소계,62.16808829,62.20754241,62.20785572,62.29118162,62.44004968,62.6180807
